Narration tail (as posted),Lines,$ ex GST,Register contractor,Retailer account,Directory candidates on this street,Your decision (site name),Notes,Web verification status,Verification source,Google search link
Lot 9006 Waratah Circuit,2,$172.45,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9006+Waratah+Circuit%22+Logan+QLD+park
82 Mount Huntley Street,2,$160.65,Journal (no supplier),,Huntley Park,Huntley Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2282+Mount+Huntley+Street%22+Logan+QLD+park
101 Summerview Avenue,2,$160.65,Journal (no supplier),,Sepia Park,Sepia Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22101+Summerview+Avenue%22+Logan+QLD+park
31 Baspa Street,2,$160.65,Journal (no supplier),,Baspa Park,Baspa Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2231+Baspa+Street%22+Logan+QLD+park
Lot 9036 Sommer Street,2,$160.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9036+Sommer+Street%22+Logan+QLD+park
34 Fairbairn St Marsden QLD 4132,10,$158.89,Origin Energy Electricity Limited,31203734850,Brandon Park,Brandon Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2234+Fairbairn+St+Marsden+QLD+4132%22+Logan+QLD+park
Woodlands Boulevard,5,$158.26,"Origin Energy (collective/direct, confirm)",3116483481,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Woodlands+Boulevard%22+Logan+QLD+park
Lot 904 Bayes Road,3,$155.84,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+904+Bayes+Road%22+Logan+QLD+park
Lot 905 Carvers Way,3,$155.84,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+905+Carvers+Way%22+Logan+QLD+park
216 River Hills Road,3,$155.10,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22216+River+Hills+Road%22+Logan+QLD+park
45 Tamarind Street,2,$154.44,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2245+Tamarind+Street%22+Logan+QLD+park
532 Chambers Flat Road,2,$151.24,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22532+Chambers+Flat+Road%22+Logan+QLD+park
117 Endeavour Circuit,2,$151.24,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22117+Endeavour+Circuit%22+Logan+QLD+park
33 Catalina Street,2,$150.50,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2233+Catalina+Street%22+Logan+QLD+park
84 Bayes Road,2,$150.50,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2284+Bayes+Road%22+Logan+QLD+park
33 Chervil Drive,2,$141.34,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2233+Chervil+Drive%22+Logan+QLD+park
0 Compton Road,1,$133.59,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Compton+Road%22+Logan+QLD+park
0 Parkview Crescent,1,$133.59,Journal (no supplier),,Cornubia Forest Park,Cornubia Forest Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%220+Parkview+Crescent%22+Logan+QLD+park
0 Railway Parade,1,$133.59,Journal (no supplier),,Morgan Park; Wembley Falls Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Railway+Parade%22+Logan+QLD+park
Lot 975 Castile Crescent,1,$133.59,Journal (no supplier),,Eddie Avenue Park; Ridgewood Reserve South,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+975+Castile+Crescent%22+Logan+QLD+park
Lot 904 Merivale Avenue,1,$133.59,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+904+Merivale+Avenue%22+Logan+QLD+park
0 Jalan Street,1,$133.59,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Jalan+Street%22+Logan+QLD+park
0 Road,1,$133.59,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Road%22+Logan+QLD+park
0 Rossmore Street,1,$133.59,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Rossmore+Street%22+Logan+QLD+park
0 La Senda Court,1,$133.59,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+La+Senda+Court%22+Logan+QLD+park
0 Crest Road,1,$133.59,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Crest+Road%22+Logan+QLD+park
0 California Creek Road,1,$133.59,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+California+Creek+Road%22+Logan+QLD+park
53 Plover Dr Eagleby QLD 4207,4,$131.41,Origin Energy Electricity Limited,QB106306519,Booiurragun Park,Booiurragun Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2253+Plover+Dr+Eagleby+QLD+4207%22+Logan+QLD+park
Park Bbq Shelter 20 Outlook Dr Waterford,6,$129.69,Origin Energy Electricity Limited,31200505415,Outlook Drive Park,Outlook Drive Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Park+Bbq+Shelter+20+Outlook+Dr+Waterford%22+Logan+QLD+park
94 Brookvale Dr Underwood QLD 4119,6,$125.66,Origin Energy Electricity Limited,31155142426,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2294+Brookvale+Dr+Underwood+QLD+4119%22+Logan+QLD+park
Jimboomba Basketball court,5,$125.61,"Origin Energy (collective/direct, confirm)",3120372485,,Jimboomba Park,SUPPORTED - explicit named facility in narration,SUPPORTED - explicit named facility in narration,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Jimboomba+Basketball+court%22+Logan+QLD+park
Oates Ave Woodridge QLD 4114,4,$120.02,Origin Energy Electricity Limited,QB090084039,Oates Park,Oates Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Oates+Ave+Woodridge+QLD+4114%22+Logan+QLD+park
16 Fermont Rd Underwood QLD 4119,4,$119.75,Origin Energy Electricity Limited,QB052516565,Charles Barton Park,Charles Barton Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2216+Fermont+Rd+Underwood+QLD+4119%22+Logan+QLD+park
Tennis Courts 1 Bishop St Eagleby QLD 42,4,$118.64,Origin Energy Electricity Limited,QB100515118,Bishop Street Park,Bishop Street Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Tennis+Courts+1+Bishop+St+Eagleby+QLD+42%22+Logan+QLD+park
"lot 804 PARK LIGHTING, IVORY PKWY,",1,$113.58,Unidentified (FY2023/24 series 7-digit),,,Everleigh Park,"VERIFIED - official Council source identifies Everleigh Park at Ivory Parkway, Greenbank","VERIFIED - official Council source identifies Everleigh Park at Ivory Parkway, Greenbank",https://www.logan.qld.gov.au/community/community-services-and-support/sport-and-recreation/planning/sports-facilities-program,https://www.google.com/search?q=%22lot+804+PARK+LIGHTING%2C+IVORY+PKWY%2C%22+Logan+QLD+park
Park Bbqs Lot 902 Bradman St New Beith Q,6,$112.80,Origin Energy Electricity Limited,31200966670,Teviot Downs Park,Teviot Downs Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Park+Bbqs+Lot+902+Bradman+St+New+Beith+Q%22+Logan+QLD+park
